dateFrom,name ,organizationPrimarySector ,eventSecondarySector,impact.category,impact.description,Attribution.type,source.name,source.URL,eventConfidenceJustificaiton ,otherInformation,,,,,,,,,
"December 18,2023",NaanDan,"Agriculture, Fisheries and Forestry",,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/224) Double Pulsar (https://doublepulsar.com/cyber-toufan-goes-oprah-mode-with-free-linux-system-wipes-of-over-100-organisations-eaf249b042dc),https://t.me/CyberToufanBackup/224,,"#IsraelLeaks - Day Twenty two - Leak two - NaanDan (naandanjain.com) - #OpCyberToufan #OpIsrael

Bismillah..

Our leak for tonight is NaanDan, by Rivulis. NaanDan is a global producer and provider of tailor-made irrigation solutions with the main facility and Headquarter based on Israel. 

In our leak we provide hundreds of clients, emails, contacts, passwords and much more, In addition about products and distributers details. 

We will keep striking your interests, will make you an open book for everybody to attack, and for sure support our free heros on Gaza field.

Links:
https://turbobit.net/9d7n9tjj94zx.html
https://usersdrive.com/xu03xpquxjdn
https://download.gg/file-16117153_17fe819c7a337dae

Password: @CyberToufan
SHA-1: 2871caaab3ed6e34eaaed6929d05ed88d00843d0

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 19,2023",USTG,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/226),https://t.me/CyberToufanBackup/226,,"#IsraelLeaks - Day Twenty three - Leak one - USTG (ustg.net) - #OpCyberToufan #OpIsrael

Bismillah..

USTG (https://www.ustg.net) is another Israeli American company under ISCAR group. Its specializes in providing a wide range of industrial tools, equipment, and supplies. The leak is a rich fresh CSV files about the company. 

Our leak contains thousands of company customers personal information, suppliers, distributers details, and customers orders. (samples attached in the following post)

We want to inform you that your competitors are so happy because these leaks are already been in their hands!  ??

Links:
https://usersdrive.com/hxsgbcszaa50
https://turbobit.net/mtpfi64o23bv.html
https://gofile.io/d/jFGxkc
https://download.gg/file-16121039_93e1992d8ea2abb1

Password: @CyberToufan
SHA-1: 5d9cf512ee7433337fa39a50c190e12585d0e301

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 19,2023",USTG,Industry,,DDoS,,Claimed,,,,"alcornindustrial.com
alleghenytool.net
amtektool.com
apisinc.com
api.touch-ins.co.il
arieladar.com
atwoodindustries.com
badgermill.com
barindustrial.com
berkshireesupply.com
blueashsupply.com
butlerbros.com
cartersoshkosh.co.il
catalog.fotcnc.com
catalog.toolkrib.com
catalog.ustg.net
cdt1.com
cmtindustrial.com
colmarindustrial.com
copreinternacional.com
core.touch-ins.co.il
cspartners.caesarstone.ca
cspartners.caesarstone.com.au
cspartners.caesarstone.co.uk
cspartners.caesarstone.sg
cspartners.caesarstoneus.com
cspartnershq1.caesarstone.com
curver.com
dctsupply.com
dixie-tool.com
drillmex.com
fugatesales.com
gfwdsupply.com
giddirect.com
global.keter.com
gordonindustrial.com
goronco.com
h-o.co.il
its-supply.com
keter.co.il
keter.com
knightesupply.com
ktstooling.com
libertytool.com
m.biopet.co.il
mgisales.com
mitchellmckinney.com
morsecuttingtools.com
mortgage.touch-ins.co.il
newstore.johnstoncompanies.com
northernprecisionsales.com
norviktools.com
old.shefa-online.co.il
paragon-supply.com
pet.biopet.co.il
pet.touch-ins.co.il
phoenix.touch-ins.co.il
pmt-usa.com
product.touch-ins.co.il
pts-tools.com
reserved-il.com
rmpis.com
rocket-supply.com
selwayindustrialsupply.com
shefa-online.co.il
shop.britecon.com
shop.clador.com
shop.emprecise.com
shop.lgindustrial.com
shop.qct.tools
shop.reggiemckenzieindustrial.com
shop.shopsupply.net
shop.smithindustrialsupply.com
stage.kravitz.co.il
store.brunswickindustrial.com
store.toolneeds.com
sys.biopet.co.il
sys-cspartners.caesarstone.ca
sys-cspartners.caesarstone.com.au
sys-cspartners.caesarstone.co.uk
sys-cspartners.caesarstone.sg
sys-cspartners.caesarstoneus.com
sys-cspartnershq1.caesarstone.com
sys-cspartners.caesarstone.ca
sys-cspartners.caesarstone.co.uk
sys.touch-ins.co.il
sys.udidagan.co.il
tryhardindustrial.ca
vehicle.touch-ins.co.il
wsies.com
www.atwoodindustries.com
www.butlerbros.com
www.copreinternacional.com
www.dixie-tool.com
www.drillmex.com
www.herrickindustrial.com
www.ktstooling.com
www.nistx.com
www.plasson-pead.com.br
www.pts-tools.com",,,,,,,,,
"December 19,2023",ZokoEnterprise,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/226),https://t.me/CyberToufanBackup/237,,"#IsraelLeaks - Day Twenty three - Leak Two - StraussGroup (strauss-group.com) - #OpCyberToufan #OpIsrael

Bismillah..

Our leak tonight is the well-known food Israeli company Strauss Group (strauss-group.com), Strauss Group is among the largest food manufacturers in Israel. and a public company traded in the Tel Aviv Stock Exchange. 

Strauss not only focuses on dairy products, coffee, snacks, and others, but they also they steel the Palestinian Holy Land's hummus and olive oil and marks them as their food.

Our gift to Pro-Palestinian hacktivists is the complete up-to-date database of Strauss. So, do not waste the chance!. 

Our message to the zionists: We will increase our attacks and leaks as long as you continue killing our children.

Links:
https://usersdrive.com/vyiedo56h301
https://turbobit.net/55wgy96xrak9.html
https://gofile.io/d/TaNAjm
https://download.gg/file-16122221_d7ee7844542178ad

Password: @CyberToufan
SHA-1: 385c3dccf6979a6a36bab51d7a48fd906c6a1b01

https://t.me/CyberToufanBackup",,,,,,,,,
"December 19,2023",StraussGroup,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/239),https://t.me/CyberToufanBackup/239,,"#IsraelLeaks - Day Twenty four - Leak #1 - ZokoEnterprise (zoko.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

Zoko Enterprises (zoko.co.il) is a designer, manufacturer, and supplier of a products such as armored machines, vehicles, buses, trucks, marine engines, and more. 

As the company mentioned (https://www.israeldefense.co.il/en/company/zoko-enterprises) it proudly says that its prominent supplier for the IDF.

In a result, we proudly leaking a part of your company database including your employees and customers private details. 

Your details became known to the resistance in the field and to the cyber fighters. Now you are our next target. Stay tuned!


Links:
https://turbobit.net/4u6tak7o4fu5.html
https://usersdrive.com/g6mpqj8xnzf1
https://download.gg/file-16125704_056b41bc7a9c03e0

Password: @CyberToufan
SHA-1: 5eb9eb06ca7f5ee75d13159b80caa8a137f408c3

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 19,2023",TEFEN,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/246),https://t.me/CyberToufanBackup/246,,"#IsraelLeaks - Day Twenty four - Leak #2 - TEFEN Flow and Dosing Technologies Ltd.  (tefentech.com) - #OpCyberToufan #OpIsrael

Bismillah..

TEFEN Flow and Dosing Technologies Ltd.  (tefentech.com) is a leading manufacturer of non-electric volumetric equipment and flow products since 1970.

Tefen offers also the pumps for a variety of applications such as medication for livestock, cleaning or disinfecting fluid lines, sanitizing water systems, car wash, cost effecting fertilizing, and pest control for crops and plants. 

We are partialy leaking a part of the company database including sensitive details.

Again, your details became known to the resistance in the field and to the cyber fighters. 

Links:
https://usersdrive.com/aaf84b1spw4s
https://turbobit.net/t5wtpq319pac.html
https://gofile.io/d/CTeD2t
https://download.gg/file-16126305_cd8b5e7cf0c600bb

Password: @CyberToufan
SHA-1: 6f5c5b48fec31631f148dc2e30c5b86a09dbd57e

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 21,2023",Erco  ,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/248),https://t.me/CyberToufanBackup/248,,"#IsraelLeaks - Day Twenty five - Leak #1 - Erco  (erco.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

Erco (erco.co.il) is a wholesaler and importer of electrical and lighting equipment and lighting fixtures. erco.co.il is one of the main electrical supply distributors in Israel with 14 branches, hundreds of workers and tens of thousand of customers. 

Because you attack everything in Palestine, we will attack everything you have as well, and since you are depriving Gaza of electricity, we attacking your electrical companies as well!

The leak contains tens of thousand of Erco customers sensitve details, orders and addresses. 

Links:
https://usersdrive.com/jj21mso90pv7
https://turbobit.net/0uxdm1ho5ufn.html
https://gofile.io/d/O7Y3IL
https://download.gg/file-16130365_3ef8dbb03669f89f

Password: @CyberToufan
SHA-1: 67c3f863893144ef20b899f37747d5c55dbb5a5e

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 21,2023",Teldor  ,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/252),https://t.me/CyberToufanBackup/252,,"#IsraelLeaks - Day Twenty Five - Leak #2 - Teldor  (teldor.com) - #OpCyberToufan #OpIsrael

Bismillah..

Teldor (teldor.com) the zionist company states in its website: 

""All of Teldor's Portable Deployment Solution cables have been installed and are fully functional both in Israel's Defense Forces (IDF) and security agencies as well as in additional military bodies across the globe""

The leak contains: 
- Sensitive information, emails, phones, addresses of Israel and global teldor customers
- Some IDF users
- Plain text passwords (not hashes this time ;D)  

Until the Zionists stop thier genocide, we will continue and strongly strike. In addition to the daily leaks, wait us tomorrow for a valuable gift .

Links:
https://gofile.io/d/wnVGhs
https://turbobit.net/6oamp8jne1we.html
https://usersdrive.com/ityojew6byje
https://download.gg/file-16130776_7376257f0c01476b

Password: @CyberToufan
SHA-1: 18d20044b2ae10dbd2f63fd46f27b66769b49e84

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 22,2023",SuperPharm,"Medical, Health and Nutrition",,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/259),https://t.me/CyberToufanBackup/259,,"#IsraelLeaks - Day Twenty Six - Leak #1 - SuperPharm  (super-pharm.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

Super-Pharm (super-pharm.co.il) is an Israeli pharmacy chain. It has ~260 branches and its revenue over $1.2 billion and more than 9000 employees. 

Today's first leak is Super-Pharm's database, which contains employees and customers' sensitive data and details of the company's products and financial records.

As you know, the Zionist state prohibits the entry of medicines into Gaza, and patients are slowly dying.

We will continue to attack the Zionists and their interests everywhere, until they stop

Links:
https://gofile.io/d/vV1FxG
https://usersdrive.com/dmk0zn63a4c7
https://turbobit.net/u3hfqrkx42rc.html
https://download.gg/file-16133908_588603ebd6317763

Password: @CyberToufan
SHA-1: 52bab32626dc6b716fa79ba055e944f8dfcddd3e

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 22,2023",BConnect Technologies ,Information and Communications,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/264),https://t.me/CyberToufanBackup/264,,"#IsraelLeaks - Day Twenty Six - Leak #2 - BConnect Technologies  (bconnect.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

BConnect Technologies  (bconnect.co.il) was established at 2007 and specializes in import and distribution of innovative electronic devices. It is the Official distributor in Israel for the following leading brands: Jabra, Belkin, Motorola and others. 

We are leaking the complete database of their website, which contains employees and customers sensitive data and the company products and economical records. 

Stay tuned for the next leak!

Links:
https://gofile.io/d/8IGUDZ
https://turbobit.net/y8xy49tk9nq4.html
https://usersdrive.com/yf9jae86zrie
https://download.gg/file-16135960_ea9710a2ea70c878

Password: @CyberToufan
SHA-1: af14615ee257c605e8ed0588dac67e2e42bc76ec

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 23,2023",Allot Ltd. ,Information and Communications,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/271),https://t.me/CyberToufanBackup/271,,"#IsraelLeaks - Day 27 - Leak #1 - Allot Ltd. (allot.com) - #OpCyberToufan #OpIsrael

Bismillah..

Our first leak for the day is our third(!) Israeli cyber security company (after Radware and Max Security), Allot Ltd..

Allot Ltd. (NASDAQ, TASE: ALLT) is a provider of network intelligence and security solutions for service providers and enterprises worldwide. Their solutions are deployed by over 500 mobile, fixed, and cloud service providers (such as Vodafone, Orange, T-Systems, Amazon, etc.) and over 1000 enterprises (including government agencies, banks, and global news networks).

Today's leak is one of many databases we have in our hands from Allot, and this database includes the details of 10s of thousands of orders of their global clientele.

Whether one can find in the data a number of interestingly named front companies for some global SIGINT agencies, and what those companies bought exactly, we'll leave it for you to discover :).

Links:
https://gofile.io/d/bfF9vw
http://tinyurl.com/CyberToufan-allot
https://oshi.at/PMmM/OpCyberToufan-IsraelLeaks-0x45-allot.zip

Password: @CyberToufan
SHA-1: 91d71d2930f75dd01fc644a5354499bc1aecbd9b

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 23,2023",Palram Industries Ltd.,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/273),https://t.me/CyberToufanBackup/273,,"#IsraelLeaks - Day 27 - Leak #2 - Palram Industries Ltd. - #OpCyberToufan #OpIsrael

Bismillah..

We'll be ending the night lightly by leaking a smaller database belonging to Palram Industries (https://palram.com). Palram is an Israeli-headquartered global leader in the design and manufacturing of thermoplastic solutions, netting over $500 million in revenue annually.

CyberToufan aims to be the one-stop-shop for all reconnaissance data needs relating to Israel and relating to any major business entity operating in (OR with) it.

We'll continue being a thorn in the side of the oppressors. We'll continue making those complicit in the killing of our children pay for their complicity.

Links:
https://gofile.io/d/nLoBCM
https://turbobit.net/zjrh6dt2qzkr.html
https://clicknupload.click/oy8zytl0rukg

Password: @CyberToufan
SHA-1: 74c35b5f8a082c6ee7c7d89ac51a033404914036

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 25,2023",CL Industrial,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/277),https://t.me/CyberToufanBackup/277,,"#IsraelLeaks - Day 28 - Leak #1 - ICL Industrial - #OpCyberToufan #OpIsrael

Bismillah..

The second leak is ICL Industrial Products (https://ICL-IP.com). It is an israeli and global specialty chemicals company that specializes in the development, production, and marketing of chemicals used in a wide range of industries. ICL-IP serving customers in over 100 countries. 

We leaking the full database of the company, including customers, suppliers and other details.

We are reminding you. We will keep striking your industrial interests, as you continuing killing our children!

Links:
https://gofile.io/d/XSinkO
https://send.cm/zuqavbg8xkgf
https://usersdrive.com/hxlwbz78wp6e

Password: @CyberToufan
SHA-1: e59b4763c6db931f26eb24c122b2c869ef1e3c19

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 25,2023",A.R.I Israel,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/281),https://t.me/CyberToufanBackup/281,,"#IsraelLeaks - Day 29 - Leak #1 - A.R.I Israel - #OpCyberToufan #OpIsrael

Bismillah..

As the Israeli authorities continue killing innocent children and civilians and continue cutting off water supplies to Gaza, 

Today's leak is more gift to our friends working against the Zionist enemy on the SCADA/ICS front. As promised we still have much more for them :)

After we leaked Israeli Water Systems (Engineering) company DOROT (https://t.me/CyberToufanBackup/213),

Today we are dumping full database of the Israeli Water Systems (Engineering) company, A.R.I (ari.co.il).
A.R.I. is a leading manufacturer and global provider of solutions for the protection of liquid transmission systems, with over 40 years of industry experience, 
with critical clients in the ICS sector in Israel and all across the globe. In 2020, A.R.I. merged with Dorot and OCV Control Valves, forming a new company now known as Aquestia.

Leak contains the full database of the company, including customers, products, and other details.

So long as the war in Gaza continues, we will continue to strike those responsible for the deaths of our children, day.. and night, sometimes in public.. 
and sometimes leaving no trace..

Links:
https://gofile.io/d/87FmuQ
https://send.cm/a811yzbj59ch
https://turbobit.net/tjn3ujnfuyhy.html

Password: @CyberToufan
SHA-1: 1bdaa2b118442ade8d47609a41de8195189451de

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 25,2023",Carolina Lemke ,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/288),https://t.me/CyberToufanBackup/288,,"#IsraelLeaks - Day 29 - Leak Two - #OpCyberToufan #OpIsrael

Bismillah..

Our second leak for the day is the complete database of the famous Israeli sunglasses and eyeglasses company (carolinalemke.com), it has more than 70 locations in Israel

Carolina Lemke Berlin yields an annual revenue of over $13.3 million, and is one of Israel's most popular eyeglasses-retail chains.

As always, we remind everyone that CyberToufan will continue to strike the Israeli companies and businesses daily, 
So long as children and innocent civilians, medical workers, and journalists are facing constant bombardment, destruction of their homes, hospitals, house of worships and attempts to expel Palestinian from their land, we will continue striking and destroying the enemy in cyberspace. 

Links: 
https://gofile.io/d/o6hN6W
https://send.cm/knjzsp266uvv
https://usersdrive.com/79gfk3eqifgl

Password: @CyberToufan
SHA-1: 203f9d57e30ea892335d6d9c6562fce3b1c1dbbf

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 25,2023",Maytronics,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/293),https://t.me/CyberToufanBackup/293,,"#IsraelLeaks - Day 30 - Leak #1 - #OpCyberToufan #OpIsrael

Bismillah..

Today we mark our 30 days-long leak for #OpCyberToufan. As the Israeli media said, #OpCyberToufan operation has been one of the largest cyber attacks in Israel's history! We have been enjoying a good ride for a full month! Unstoppable!

The first leak of the day goes to Maytronics Ltd. (maytronics.com). Maytronics is an Israeli company that's a global leader in the swimming pool industry. They sell a variety of robotic pool cleaners, pool-safety products, and mineral-based water treatment technologies. They operate five subsidiaries worldwide, with global partners in 65 countries across five continents and over 100 distributors.

Their CEO (Jonathan Basi) was a proud retired colonel of the IDF!

We are leaking a part of database of the company. It contains their customers and distributors and their details.

We are reminding you. We will keep striking your industrial interests, as you continuing killing our children!
No business is safe! You only lead into self-destruction path! The path that you will loose and defeated!
We would like to thank all of YOU who supported us,
Remember, we all know it to well, without the freedom of the Palestinian, our freedom is incomplete!

For the haters, thanks for watching us! You know who you are! ;)

Links: 
https://gofile.io/d/Go1yrv
https://send.cm/1m1k91j4q8e8
https://usersdrive.com/4ygb115xcim0

Password: @CyberToufan
SHA-1: df37d48ab9f880d4de3d3d9b6786d4081a6a8c3a

https://t.me/CyberToufanBackup / https://t.me/CyberToufan

#IsraelLeaks - Day 30 - Leak #1 - #OpCyberToufan #OpIsrael

Links: 
https://gofile.io/d/Go1yrv
https://send.cm/1m1k91j4q8e8
https://usersdrive.com/4ygb115xcim0

Password: @CyberToufan
SHA-1: df37d48ab9f880d4de3d3d9b6786d4081a6a8c3a

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 27,2023", Israel State Payment Gateway,"Finance, Management and Administration",,wipe ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/297),https://t.me/CyberToufanBackup/297,,"#IsraelLeaks - Day 30 - Leak #2 - Israel State Payment Gateway (ecom.gov.il) - #OpCyberToufan #OpIsrael

Bismillah..

Believe it or not, it's been 30 days of #IsraelLeaks already! We promised you all a month of daily leaks (every day, and every night), and here we've fulfilled our promise with our 60 leaks!

For our final leak, we felt we needed to drop something special, so we've decided to just go ahead and publish the whole disk image of one of the backend servers of Israel's State Payment Gateway (ecom.gov.il)!!

Yeah, we exfil'd a lot more than we published.. ??

On the 16th of November, as part of #OpCyberToufan, our team wiped out over 15 servers and backup systems that were part of Israel's State Payment Gateway infrastructure. The government did manage to get a semi-working system back up within a week, but we're the only ones with all the data :)!

While this may be our last leak for now, having completed our month of leaking, it's not the end of Cyber Toufan. We have many surprises awaiting in store. So long as our brothers keep striking the occupying forces on the ground, we'll keep striking them and their interests in the domain of cyber, whether in public or whether without a trace.

""And indeed it is Jihad, victory or martyrdom""

Links:
https://gofile.io/d/BwStGl
https://1fichier.com/?bb2wqqg0g3c70m9cr1oy
https://pixeldrain.com/u/KRxzkMF2

Password: @CyberToufan
SHA-1: 817ce9533ae46119d0ad9fa3263d3a378c50e16b
",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
